question,cypher,type,database,explanation,syntax_error,timeout,returns_results,no_cypher
Find the top 3 users interacted with by 'sarahp.bsky.social'.,"MATCH (u1:User {label: 'sarahp.bsky.social'})-[:INTERACTED]->(u2:User)
RETURN u2.label AS interactedUser, COUNT(*) AS interactionCount
ORDER BY interactionCount DESC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query will retrieve the top 3 users that 'sarahp.bsky.social' has interacted with. Here's how it works:
1. The `MATCH` clause finds the node representing 'sarahp.bsky.social' and matches it to other `User` nodes it has an `INTERACTED` relationship with.
2. The `RETURN` clause specifies that we want to return the labels of the users 'sarahp.bsky.social' has interacted with, along with the count of interactions.
3. The `ORDER BY` clause sorts the results by the interaction count in descending order.
4. The `LIMIT 3` clause restricts the results to the top 3 users.",False,False,True,False
Find 3 users located at x-coordinate values greater than 10000.,"MATCH (u:User)
WHERE u.x > 10000
RETURN u.label, u.x
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves users whose x-coordinate values are greater than 10000. The query starts by matching all nodes with the label `User`. It then filters these nodes using the `WHERE` clause to only include those with an `x` property value greater than 10000. Finally, it returns the `label` and `x` properties of these users, limiting the results to 3 users.",False,False,True,False
List the top 5 users having the most interactions with a specific key in 'INTERACTED' relationship.,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE r.key = 'specific_key'
WITH u1, COUNT(r) AS interactions
ORDER BY interactions DESC
LIMIT 5
RETURN u1.label AS User, interactions",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users who have the most interactions with a specific key in the 'INTERACTED' relationship. Here's a step-by-step explanation:

1. `MATCH (u1:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all `User` nodes that have an `INTERACTED` relationship with other `User` nodes.
2. `WHERE r.key = 'specific_key'`: This filters the `INTERACTED` relationships to only include those with the specified key.
3. `WITH u1, COUNT(r) AS interactions`: This groups the results by the starting `User` node (`u1`) and counts the number of `INTERACTED` relationships for each user, storing the count in `interactions`.
4. `ORDER BY interactions DESC`: This orders the users by the number of interactions in descending order.
5. `LIMIT 5`: This limits the results to the top 5 users.
6. `RETURN u1.label AS User, interactions`: This returns the label of the user and the number of interactions.

This query effectively identifies the top 5 users with the most interactions based on the specified key in the `INTERACTED` relationship.",False,False,False,False
Which 3 users have the largest size and a color of '#3CB371'?,"MATCH (u:User)
WHERE u.color = '#3CB371'
RETURN u.label, u.size
ORDER BY u.size DESC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the labels and sizes of the top 3 users who have the largest size and a color of '#3CB371'. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `WHERE u.color = '#3CB371'`: This filters the matched users to only include those with the color property set to '#3CB371'.
3. `RETURN u.label, u.size`: This specifies that the query should return the `label` and `size` properties of the filtered users.
4. `ORDER BY u.size DESC`: This orders the returned users by their `size` property in descending order, so the users with the largest sizes come first.
5. `LIMIT 3`: This limits the result to the top 3 users.",False,False,True,False
Show the top 5 users who have interacted with users having a color of '#FF4500'.,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE u2.color = '#FF4500'
RETURN u1.label, COUNT(r) AS interactions
ORDER BY interactions DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users who have interacted with users having a color of '#FF4500'. Here's how it works:
1. `MATCH (u1:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all interactions between users.
2. `WHERE u2.color = '#FF4500'`: This filters the interactions to only those where the target user (`u2`) has the color '#FF4500'.
3. `RETURN u1.label, COUNT(r) AS interactions`: This returns the label of the interacting user (`u1`) and the count of interactions they have with users of the specified color.
4. `ORDER BY interactions DESC`: This orders the results by the number of interactions in descending order.
5. `LIMIT 5`: This limits the results to the top 5 users.",False,False,True,False
What are the top 5 user interactions based on the interaction weight in descending order?,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
RETURN u1.label AS User1, u2.label AS User2, r.weight AS InteractionWeight
ORDER BY r.weight DESC
LIMIT 5",Pathfinding Queries,bluesky,"This Cypher query retrieves the top 5 user interactions based on the interaction weight in descending order. Here's how it works:
1. `MATCH (u1:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all interactions between users in the graph.
2. `RETURN u1.label AS User1, u2.label AS User2, r.weight AS InteractionWeight`: This returns the labels of the interacting users and the weight of their interaction.
3. `ORDER BY r.weight DESC`: This orders the results by the interaction weight in descending order.
4. `LIMIT 5`: This limits the results to the top 5 interactions.",False,False,True,False
Who are the top 5 users with the most interactions having a weight greater than 5?,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE r.weight > 5
WITH u1, COUNT(r) AS interactionCount
ORDER BY interactionCount DESC
LIMIT 5
RETURN u1.label AS User, interactionCount",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users who have the most interactions with a weight greater than 5. Here's a step-by-step breakdown of the query:

1. `MATCH (u1:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all `User` nodes that have an `INTERACTED` relationship with another `User` node.
2. `WHERE r.weight > 5`: This filters the relationships to include only those with a `weight` property greater than 5.
3. `WITH u1, COUNT(r) AS interactionCount`: This groups the results by the starting `User` node (`u1`) and counts the number of interactions (`r`) for each user, storing the count in `interactionCount`.
4. `ORDER BY interactionCount DESC`: This orders the users by the number of interactions in descending order.
5. `LIMIT 5`: This limits the results to the top 5 users.
6. `RETURN u1.label AS User, interactionCount`: This returns the label of the user and their corresponding interaction count.

The query effectively identifies the top 5 users with the most interactions where the interaction weight is greater than 5.",False,False,True,False
List the top 5 users with the smallest area attribute.,"MATCH (u:User)
RETURN u.label, u.area
ORDER BY u.area ASC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users with the smallest `area` attribute. Here's how it works:
1. `MATCH (u:User)`: This clause matches all nodes with the label `User`.
2. `RETURN u.label, u.area`: This clause returns the `label` and `area` properties of the matched `User` nodes.
3. `ORDER BY u.area ASC`: This clause orders the results by the `area` property in ascending order, so the smallest areas come first.
4. `LIMIT 5`: This clause limits the results to the top 5 users.",False,False,True,False
Show 3 users who have interacted with users located at y-coordinate values greater than 10000.,"MATCH (u1:User)-[:INTERACTED]->(u2:User)
WHERE u2.y > 10000
RETURN DISTINCT u1.label
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves 3 distinct users who have interacted with users located at y-coordinate values greater than 10000. Here's a step-by-step breakdown of the query:

1. `MATCH (u1:User)-[:INTERACTED]->(u2:User)`: This pattern matches pairs of users where `u1` has interacted with `u2`.
2. `WHERE u2.y > 10000`: This condition filters the interactions to only those where the user `u2` has a y-coordinate value greater than 10000.
3. `RETURN DISTINCT u1.label`: This returns the labels of the distinct users `u1` who have interacted with the filtered users.
4. `LIMIT 3`: This limits the result to 3 users.

By following these steps, the query ensures that it retrieves the required information based on the given graph schema.",False,False,True,False
Which 5 users have interacted with the most users with a size over 2?,"MATCH (u:User)-[r:INTERACTED]->(v:User)
WHERE v.size > 2
WITH u, COUNT(DISTINCT v) AS interactionCount
RETURN u.label AS user, interactionCount
ORDER BY interactionCount DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the 5 users who have interacted with the most users that have a size property greater than 2. Here's a step-by-step breakdown of the query:

1. `MATCH (u:User)-[r:INTERACTED]->(v:User)`: This pattern matches all interactions between users.
2. `WHERE v.size > 2`: This filters the interactions to only include those where the target user (`v`) has a size property greater than 2.
3. `WITH u, COUNT(DISTINCT v) AS interactionCount`: This groups the results by the starting user (`u`) and counts the distinct target users (`v`) they have interacted with.
4. `RETURN u.label AS user, interactionCount`: This returns the label of the starting user and the count of their interactions.
5. `ORDER BY interactionCount DESC`: This orders the results by the interaction count in descending order.
6. `LIMIT 5`: This limits the results to the top 5 users.

By following these steps, the query identifies the users who have interacted with the most other users that have a size greater than 2.",False,False,True,False
