question,answer,contexts,ground_truth,cypher
매트릭스에서 누가 연기했나요?,"'매트릭스'에서 연기한 배우들은 Keanu Reeves, Carrie-Anne Moss, Hugo Weaving, Laurence Fishburne입니다.","[""Executed Cypher query: MATCH (m:Movie) WHERE m.title CONTAINS 'Matrix' MATCH (p:Person)-[:ACTED_IN]->(m) RETURN m.title AS movie, p.name AS actor ORDER BY m.title, p.name\n<Record movie='Matrix Reloaded, The' actor='Andy Arness'>\n<Record movie='Matrix Reloaded, The' actor='Carrie-Anne Moss'>\n<Record movie='Matrix Reloaded, The' actor='Christine Anu'>\n<Record movie='Matrix Reloaded, The' actor='Keanu Reeves'>\n<Record movie='Matrix Revolutions, The' actor='Helmut Bakaitis'>\n<Record movie='Matrix Revolutions, The' actor='Kate Beahan'>\n<Record movie='Matrix Revolutions, The' actor='Keanu Reeves'>\n<Record movie='Matrix Revolutions, The' actor='Mary Alice'>\n<Record movie='Matrix, The' actor='Carrie-Anne Moss'>\n<Record movie='Matrix, The' actor='Hugo Weaving'>\n<Record movie='Matrix, The' actor='Keanu Reeves'>\n<Record movie='Matrix, The' actor='Laurence Fishburne'>""]","매트릭스 시리즈 영화들과 출연 배우는 다음과 같습니다: Matrix Reloaded, The - Andy Arness; Matrix Reloaded, The - Carrie-Anne Moss; Matrix Reloaded, The - Christine Anu; Matrix Reloaded, The - Keanu Reeves; Matrix Revolutions, The - Helmut Bakaitis; Matrix Revolutions, The - Kate Beahan; Matrix Revolutions, The - Keanu Reeves; Matrix Revolutions, The - Mary Alice; Matrix, The - Carrie-Anne Moss; Matrix, The - Hugo Weaving; Matrix, The - Keanu Reeves; Matrix, The - Laurence Fishburne","MATCH (m:Movie) WHERE m.title CONTAINS 'Matrix' MATCH (p:Person)-[:ACTED_IN]->(m) RETURN m.title AS movie, p.name AS actor ORDER BY m.title, p.name"
매트릭스를 누가 감독했나요?,"'매트릭스' 시리즈의 감독은 다음과 같습니다:

- '매트릭스' (The Matrix): Lilly Wachowski, Lana Wachowski
- '매트릭스 리로디드' (The Matrix Reloaded): Lilly Wachowski, Lana Wachowski
- '매트릭스 레볼루션' (The Matrix Revolutions): Lilly Wachowski, Lana Wachowski","[""Executed Cypher query: MATCH (m:Movie) WHERE m.title CONTAINS 'Matrix' MATCH (p:Person)-[:DIRECTED]->(m) RETURN m.title AS movie, p.name AS director ORDER BY m.title, p.name\n<Record movie='Matrix Reloaded, The' director=' Lilly Wachowski'>\n<Record movie='Matrix Reloaded, The' director='Lana Wachowski'>\n<Record movie='Matrix Revolutions, The' director=' Lilly Wachowski'>\n<Record movie='Matrix Revolutions, The' director='Lana Wachowski'>\n<Record movie='Matrix, The' director=' Lilly Wachowski'>\n<Record movie='Matrix, The' director='Lana Wachowski'>""]","매트릭스 시리즈 영화들과 감독은 다음과 같습니다: Matrix Reloaded, The -  Lilly Wachowski; Matrix Reloaded, The - Lana Wachowski; Matrix Revolutions, The -  Lilly Wachowski; Matrix Revolutions, The - Lana Wachowski; Matrix, The -  Lilly Wachowski; Matrix, The - Lana Wachowski","MATCH (m:Movie) WHERE m.title CONTAINS 'Matrix' MATCH (p:Person)-[:DIRECTED]->(m) RETURN m.title AS movie, p.name AS director ORDER BY m.title, p.name"
톰 행크스는 몇 편의 영화에 출연했나요?,톰 행크스는 43편의 영화에 출연했습니다.,"[""Executed Cypher query: cypher\nMATCH (p:Person)-[:ACTED_IN]->(m:Movie) WHERE p.name CONTAINS 'Hanks' RETURN count(DISTINCT m) AS movie_count\n\n<Record movie_count=43>""]",톰 행크스는 38편의 영화에 출연했습니다.,"cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WHERE p.name CONTAINS 'Hanks' RETURN count(DISTINCT m) AS movie_count
"
가장 높은 평점을 받은 상위 5개의 영화는 무엇인가요?,"1. Band of Brothers - 9.6
2. Civil War, The - 9.5
3. Cosmos - 9.3
4. Shawshank Redemption, The - 9.3
5. Decalogue, The (Dekalog) - 9.2","[""Executed Cypher query: MATCH (m:Movie) WHERE m.imdbRating IS NOT NULL RETURN m.title AS title, m.imdbRating AS rating ORDER BY m.imdbRating DESC LIMIT 5\n<Record title='Band of Brothers' rating=9.6>\n<Record title='Civil War, The' rating=9.5>\n<Record title='Cosmos' rating=9.3>\n<Record title='Shawshank Redemption, The' rating=9.3>\n<Record title='Decalogue, The (Dekalog)' rating=9.2>""]","가장 높은 평점을 받은 상위 5개의 영화는 다음과 같습니다: Band of Brothers - 9.6; Civil War, The - 9.5; Cosmos - 9.3; Shawshank Redemption, The - 9.3; Decalogue, The (Dekalog) - 9.2","MATCH (m:Movie) WHERE m.imdbRating IS NOT NULL RETURN m.title AS title, m.imdbRating AS rating ORDER BY m.imdbRating DESC LIMIT 5"
포레스트 검프는 어떤 장르에 속하나요?,"포레스트 검프는 코미디, 드라마, 로맨스, 전쟁 장르에 속합니다.","[""Executed Cypher query: MATCH (m:Movie) WHERE m.title CONTAINS 'Forrest Gump' MATCH (m)-[:IN_GENRE]->(g:Genre) RETURN DISTINCT m.title AS movie, g.name AS genre ORDER BY m.title, g.name\n<Record movie='Forrest Gump' genre='Comedy'>\n<Record movie='Forrest Gump' genre='Drama'>\n<Record movie='Forrest Gump' genre='Romance'>\n<Record movie='Forrest Gump' genre='War'>""]",포레스트 검프 영화와 장르는 다음과 같습니다: Forrest Gump - Comedy; Forrest Gump - Drama; Forrest Gump - Romance; Forrest Gump - War,"MATCH (m:Movie) WHERE m.title CONTAINS 'Forrest Gump' MATCH (m)-[:IN_GENRE]->(g:Genre) RETURN DISTINCT m.title AS movie, g.name AS genre ORDER BY m.title, g.name"
매트릭스와 매트릭스 리로디드에 모두 출연한 배우는 누구인가요?,매트릭스와 매트릭스 리로디드에 모두 출연한 배우는 Carrie-Anne Moss와 Keanu Reeves입니다.,"[""Executed Cypher query: cypher\nMATCH (m1:Movie) WHERE m1.title CONTAINS 'Matrix' AND NOT m1.title CONTAINS 'Reloaded' \nMATCH (m2:Movie) WHERE m2.title CONTAINS 'Matrix Reloaded' \nMATCH (p:Person)-[:ACTED_IN]->(m1), (p)-[:ACTED_IN]->(m2) \nRETURN DISTINCT p.name AS actor ORDER BY p.name\n\n<Record actor='Carrie-Anne Moss'>\n<Record actor='Keanu Reeves'>""]","매트릭스와 매트릭스 리로디드에 모두 출연한 배우는 다음과 같습니다: Carrie-Anne Moss, Keanu Reeves","cypher
MATCH (m1:Movie) WHERE m1.title CONTAINS 'Matrix' AND NOT m1.title CONTAINS 'Reloaded' 
MATCH (m2:Movie) WHERE m2.title CONTAINS 'Matrix Reloaded' 
MATCH (p:Person)-[:ACTED_IN]->(m1), (p)-[:ACTED_IN]->(m2) 
RETURN DISTINCT p.name AS actor ORDER BY p.name
"
가장 많은 영화를 감독한 감독은 누구인가요?,Woody Allen은 42편의 영화를 감독했습니다.,"[""Executed Cypher query: cypher\nMATCH (d:Director)-[:DIRECTED]->(m:Movie) \nRETURN d.name AS director, count(DISTINCT m) AS movie_count \nORDER BY movie_count DESC \nLIMIT 1\n\n<Record director='Woody Allen' movie_count=42>""]",가장 많은 영화를 감독한 감독은 Woody Allen - 42입니다.,"cypher
MATCH (d:Director)-[:DIRECTED]->(m:Movie) 
RETURN d.name AS director, count(DISTINCT m) AS movie_count 
ORDER BY movie_count DESC 
LIMIT 1
"
1999년에 개봉한 영화는 무엇인가요?,"- 10 Things I Hate About You
- 13th Warrior, The
- 200 Cigarettes","[""Executed Cypher query: MATCH (m:Movie) WHERE m.year = 1999 RETURN m.title AS title ORDER BY m.title LIMIT 3\n<Record title='10 Things I Hate About You'>\n<Record title='13th Warrior, The'>\n<Record title='200 Cigarettes'>""]","1999년에 개봉한 영화는 다음과 같습니다: 10 Things I Hate About You, 13th Warrior, The, 200 Cigarettes, 24 Hour Woman, The, 8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women)",MATCH (m:Movie) WHERE m.year = 1999 RETURN m.title AS title ORDER BY m.title LIMIT 3
펄프 픽션에 출연한 배우는 누구인가요?,"펄프 픽션에 출연한 배우는 John Travolta, Laura Lovelace, Samuel L. Jackson, Tim Roth입니다.","[""Executed Cypher query: cypher\nMATCH (m:Movie) WHERE m.title CONTAINS 'Pulp Fiction' MATCH (p:Person)-[:ACTED_IN]->(m) RETURN m.title AS movie, p.name AS actor ORDER BY p.name\n\n<Record movie='Pulp Fiction' actor='John Travolta'>\n<Record movie='Pulp Fiction' actor='Laura Lovelace'>\n<Record movie='Pulp Fiction' actor='Samuel L. Jackson'>\n<Record movie='Pulp Fiction' actor='Tim Roth'>""]",펄프 픽션 영화와 출연 배우는 다음과 같습니다: Pulp Fiction - John Travolta; Pulp Fiction - Laura Lovelace; Pulp Fiction - Samuel L. Jackson; Pulp Fiction - Tim Roth,"cypher
MATCH (m:Movie) WHERE m.title CONTAINS 'Pulp Fiction' MATCH (p:Person)-[:ACTED_IN]->(m) RETURN m.title AS movie, p.name AS actor ORDER BY p.name
"
인셉션과 장르가 비슷한 영화를 추천해주세요.,"- Hamlet
- RoboCop
- Getaway, The
- Insomnia
- Get Carter
- Day the Earth Stood Still, The
- Shaft
- Bourne Identity, The
- Bad Boys
- Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie)","[""Executed Cypher query: cypher\nMATCH (m:Movie) WHERE m.title CONTAINS 'Inception' WITH m LIMIT 1 MATCH (m)-[:IN_GENRE]->(g:Genre)<-[:IN_GENRE]-(rec:Movie) WHERE rec <> m RETURN rec.title AS recommended, collect(g.name) AS shared_genres, count(g) AS genre_overlap ORDER BY genre_overlap DESC LIMIT 10\n\n<Record recommended='Hamlet' shared_genres=['Crime', 'Crime', 'Drama', 'Drama', 'Drama', 'Drama', 'Drama', 'Drama', 'Thriller'] genre_overlap=9>\n<Record recommended='RoboCop' shared_genres=['Crime', 'Crime', 'Drama', 'Sci-Fi', 'Sci-Fi', 'Thriller', 'IMAX', 'Action', 'Action'] genre_overlap=9>\n<Record recommended='Getaway, The' shared_genres=['Crime', 'Crime', 'Drama', 'Drama', 'Thriller', 'Thriller', 'Action', 'Action'] genre_overlap=8>\n<Record recommended='Insomnia' shared_genres=['Crime', 'Drama', 'Drama', 'Mystery', 'Mystery', 'Thriller', 'Thriller', 'Action'] genre_overlap=8>\n<Record recommended='Get Carter' shared_genres=['Crime', 'Drama', 'Drama', 'Thriller', 'Thriller', 'Action', 'Action'] genre_overlap=7>\n<Record recommended='Day the Earth Stood Still, The' shared_genres=['Drama', 'Drama', 'Sci-Fi', 'Sci-Fi', 'Thriller', 'Thriller', 'IMAX'] genre_overlap=7>\n<Record recommended='Shaft' shared_genres=['Crime', 'Crime', 'Drama', 'Thriller', 'Thriller', 'Action', 'Action'] genre_overlap=7>\n<Record recommended='Bourne Identity, The' shared_genres=['Drama', 'Mystery', 'Mystery', 'Thriller', 'Thriller', 'Action', 'Action'] genre_overlap=7>\n<Record recommended='Bad Boys' shared_genres=['Crime', 'Crime', 'Drama', 'Drama', 'Thriller', 'Thriller', 'Action'] genre_overlap=7>\n<Record recommended='Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie)' shared_genres=['Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller', 'Action'] genre_overlap=6>""]","인셉션과 장르가 비슷한 영화는 다음과 같습니다: RoboCop - 9; Hamlet - 9; Getaway, The - 8; Insomnia - 8; Bad Boys - 7","cypher
MATCH (m:Movie) WHERE m.title CONTAINS 'Inception' WITH m LIMIT 1 MATCH (m)-[:IN_GENRE]->(g:Genre)<-[:IN_GENRE]-(rec:Movie) WHERE rec <> m RETURN rec.title AS recommended, collect(g.name) AS shared_genres, count(g) AS genre_overlap ORDER BY genre_overlap DESC LIMIT 10
"
